Verbatim;Categorie;Libelle;Compar
"Domaine d'application motivant : travailler avec des chirurgiens, découvrir le domaine orthopédique;Concrétiser rapidement nos idées et voir l'impact direct de notre travail;Ambiance d'équipe.";Vision;Ce que j'apprécie;1
Donner un coup de main à l'équipe altman;Travail;Ce que j'apprécie;1
Donner une direction commune à l'équipe. Quand tout le monde comprend naturellement tout ce qui se passe et qu'on avance bien. ;Priorités;Ce que j'apprécie;1
Double facette de la direction;Collectif;Ce qui me met en difficulté;1
Du mal à mettre de la rigueur;Autres;Ce qui me met en difficulté;1
Dynamique améliorée depuis le changement de gouvernance ;Dynamique;Ce que j'apprécie;1
Dysfonctionnements sur la communication;Communication;Ce qui me met en difficulté;1
Ecart entre Etienne et Arnaud, sur deux planètes différentes. ;Collectif;Ce qui me met en difficulté;1
échange avec les autres services;Collectif;Ce que j'apprécie;1
Echanger avec les salariés;Collectif;Ce que j'apprécie;1
Echanges;Collectif;Ce que j'apprécie;1
Échanges avec Hugo et Jonas;Collectif;Ce que j'apprécie;1
Ecoute;Collectif;Ce que j'apprécie;1
écoute;Collectif;Ce que j'apprécie;1
Ecoute de mes collègues;Collectif;Ce que j'apprécie;1
Ecoute et entraide, Adaptation;Collectif;Ce que j'apprécie;1
Écoute mais pas de solutions: chacun pense trop à son pôle : commercial, logistique. ;Collectif;Ce qui me met en difficulté;1
Edouard bosse beaucoup;Autres;Ce que j'apprécie;1
efficacité des réunions;Organisation;Ce qui me met en difficulté;1
En étant que 2 et ne connaissant pas tout le monde, il y a des lots techniques et des spécificités en climatisation : difficile de faire appel aux experts internes car ont leur emploi du temps;Communication;Ce qui me met en difficulté;1
En tant que gérant de l'équipe Com, on ne fixe pas nos budgets.;Organisation;Ce qui me met en difficulté;1
En terme d'organisation, j'ai du mal à bien couvrir mon secteur du fait de ma semaine d'alternance;Organisation;Ce qui me met en difficulté;1
encadrement formation;Accompagnement;Ce que j'apprécie;1
Encadrement limité;Accompagnement;Ce qui me met en difficulté;1
Enjeu de temps pas insolvable s'il y avait un bon process;Organisation;Ce qui me met en difficulté;1
Enorme problème de culture, pas de commerciaux, pas de contrôle de gestion;Organisation;Ce qui me met en difficulté;1
Entouré de pas mal d'ingénieurs. Très compétents et bienveillants. Toujours là pour épauler en cas de problèmes. ;Collectif;Ce que j'apprécie;1
Entraide/cohésion au niveau du travail (de moins en moins visible malheureusement);Collectif;Ce que j'apprécie;1
entre aide;Collectif;Ce que j'apprécie;1
Entreprise à taille humaine;Collectif;Ce que j'apprécie;1
Entreprise amicale, confortable et honnéte.;Collectif;Ce que j'apprécie;1
Entreprise en croissance : tjrs des choses à mettre en place, évolution (j'ai monté mon équipe);Dynamique;Ce que j'apprécie;1
Entreprise en mouvement;Dynamique;Ce que j'apprécie;1
entretenir des liens avec les collègues hors de mon bureau ou non de mon équipe;Collectif;Ce qui me met en difficulté;1
Entretiens pro : tout le monde se sent bien;Collectif;Ce que j'apprécie;1
Envie commune de reproduire la pratique;Collectif;Ce que j'apprécie;1
Envie de réussir les objectifs qu'on s'est donnés ;Priorités;Ce que j'apprécie;1
environnement;Environnement;Ce que j'apprécie;1
Environnement bruyant pour travailler;Environnement;Ce qui me met en difficulté;1
Environnement de travail bienveillant, autonomie, responsabilité, flexibilité, transparence;Travail;Ce que j'apprécie;1
Environnement et ambiance de travail;Environnement;Ce que j'apprécie;1
equilibre vie privée/pro;Environnement;Ce que j'apprécie;1
Equipe;Collectif;Ce que j'apprécie;1
équipe;Collectif;Ce que j'apprécie;1
équipe jeune;Collectif;Ce que j'apprécie;1
Équipe super sympa, bienveillance pour les employés;Collectif;Ce que j'apprécie;1
Equipes soudées : mon équipe. ;Collectif;Ce que j'apprécie;1
équitable;Collectif;Ce que j'apprécie;1
Esprit d'équipe;Collectif;Ce que j'apprécie;1
esprit d'équipe, donner du sens à ce que je fais;Vision;Ce que j'apprécie;1
Esprit d'équipes;Collectif;Ce que j'apprécie;1
estime de soi;Autonomie;Ce qui me met en difficulté;1
Et la compréhension ;Collectif;Ce que j'apprécie;1
Etat d'esprit de l'entreprise, on fait des fêtes, familiale, plein de couples qui se sont formés ici.;Collectif;Ce que j'apprécie;1
Etat d'esprit de mes collègues;Collectif;Ce que j'apprécie;1
"Etat d'esprit d'Handi Pharm : bonne ambiance, ""on va vers le haut"", entreprise qui va vers le positif, qui veut améliorer les choses, se développer";Collectif;Ce que j'apprécie;1
état d'esprit positif;Collectif;Ce que j'apprécie;1
Etienne a reboosté l'entreprise;Accompagnement;Ce que j'apprécie;1
Etienne met beaucoup de pression par ce qu'il est, par son tempérament;Pression;Ce qui me met en difficulté;1
Etienne nous tire, nous mêne. Il est très vendeur ! Capacité à embarquer les gens. ;Accompagnement;Ce que j'apprécie;1
Etienne, ce n'est pas évident pour moi au quotidien. Il est très présent. Une énergie énorme. Il est très commercial.;Collectif;Ce qui me met en difficulté;1
être à l'écoute;Vision;Ce que j'apprécie;1
Etre aidé, recadré, par les autres membres de l'équipe;Vision;Ce que j'apprécie;1
Etre clair sur la motivation de certaines decisions.;Ouverture;Ce qui me met en difficulté;1
être polyvalent;Travail;Ce que j'apprécie;1
être reconnu par mes collègues grâce à mon travail créatif;Reconnaissance;Ce que j'apprécie;1
être ripeu;Travail;Ce que j'apprécie;1
"être seul; charge des bacs; chargement et déchargement";Travail;Ce qui me met en difficulté;1
Être toujours dans un suivi permanent des dossiers.;Travail;Ce qui me met en difficulté;1
Etre très flexible : travailler sur sa tache, mais pouvoir être interrompu n'importe quand (demande d'aide d'un collègue, besoin de review, hotfix à traiter);Priorités;Ce qui me met en difficulté;1
Etre une personne dans un ensemble donc important;Collectif;Ce que j'apprécie;1
évolution;Evolution;Ce que j'apprécie;1
ex : La partie technique : difficultés, résoudre les problèmes techniques , Relation avec les clients , Chargement et déchargement des machines ;Travail;Ce que j'apprécie;1
"Excès d'""agreeableness""";Ouverture;Ce qui me met en difficulté;1
Exigence de rentabilité (pas forcément le temps de faire parfaitement);Pression;Ce qui me met en difficulté;1
expertise technique;Travail;Ce que j'apprécie;1
Facon de communiquer (assez divisé);Communication;Ce qui me met en difficulté;1
Façon dont on m'a accueilli : bienvenue chez nous , J'étais touché. On m'a fait faire le tour, on m'a présenté tout le monde.;Collectif;Ce que j'apprécie;1
Faiblesse d'analyse des succès comme des échecs;Vision;Ce qui me met en difficulté;1
Faire accepter les priorités à l'équipe (car parfois c'est les decevoir);Priorités;Ce qui me met en difficulté;1
Faire au mieux, trouver des solutions (même si ce sont des demandes plus farfelues) et envie d'apprendre : ce que j'apprend quotidiemnement;Travail;Ce que j'apprécie;1
Faire le tri entre beaucoup de tâches toutes urgentes;Priorités;Ce qui me met en difficulté;1
Faire mon travail;Travail;Ce que j'apprécie;1
Faire monter mes collègues en compétence ;Accompagnement;Ce que j'apprécie;1
Faire quelque chose d'utile;Vision;Ce que j'apprécie;1
faire un travail qui n'est pas le mien;Travail;Ce qui me met en difficulté;1
faire une pause;Environnement;Ce que j'apprécie;1
Faire venir la clientèle : ne pas y arriver est compliqué (perte de cette place de premier) ;Relation client;Ce qui me met en difficulté;1
Feeling overwhelmed by the work and the number of problems I have to tackle;Pression;Ce qui me met en difficulté;1
Fermeture de l'équipe dirigeante, vision selon leur prisme et ne veulent pas changer : pas de contre-pouvoir dans la société;Ouverture;Ce qui me met en difficulté;1
fierté;Travail;Ce que j'apprécie;1
fin durée déterminée;Autres;Ce qui me met en difficulté;1
Flex office;Environnement;Ce qui me met en difficulté;1
Flexibilité;Environnement;Ce que j'apprécie;1
Flou au niveau des attributions.;Organisation;Ce qui me met en difficulté;1
Flux de marchandises;Travail;Ce qui me met en difficulté;1
Formation aux outils : Les formations sont faites à l'arrache.  ;Evolution;Ce qui me met en difficulté;1
"Formation de Chauffeur très intéressante;Tri des déchets intéressants et attentifs";Evolution;Ce que j'apprécie;1
formation d'une journée pas suffisante pour compter l'argent et remplir les formulaires;Evolution;Ce qui me met en difficulté;1
Formes des fois on me parle rès mal même si c'est pertinent;Collectif;Ce qui me met en difficulté;1
forte cohésion d'équipe;Collectif;Ce que j'apprécie;1
"François est encore très présent. On décide rien sans lui. On arrive à lui dire ""on n'est pas d'accord avec toi !"". Pas facile. ";Organisation;Ce qui me met en difficulté;1
Freedom to try new things that are not necessarily in my scope;Autonomie;Ce que j'apprécie;1
Gentillesse des gens qui travaillent chez APL : une bonne ambiance, une bienveillance, respect;Collectif;Ce que j'apprécie;1
Gérer le travail des personnes absentes en plus de mon travail;Organisation;Ce qui me met en difficulté;1
gérer les problèmes;Travail;Ce qui me met en difficulté;1
Gérer les recrutements peut être très chronophage;Travail;Ce qui me met en difficulté;1
Gérer mes émotions pour prendre du recul;Autres;Ce qui me met en difficulté;1
gérer son équipe ,prendre des risques ,assumer les décisions de l'organisation;Autonomie;Ce que j'apprécie;1
Gestion de l'humain. Soit on est leur père ou mère. Il faut tout répéter. Ils se laissent un peu porté.;Collectif;Ce qui me met en difficulté;1
Gestion de projets. Développement des nouveaux clients. L'idée de nouveau. Challenge. Défi;Travail;Ce que j'apprécie;1
Gestion des remplacements;Moyens;Ce qui me met en difficulté;1
gestion du temps;Organisation;Ce qui me met en difficulté;1
Grande autonomie, mais peu de véritables moyens d'executions.;Moyens;Ce qui me met en difficulté;1
"Gros manque de respect des Chauffeurs envers les Trieurs (ils ne nous aident pas à mieux trier ni ranger de différents bacs. Après leur tournée, ils déposent les bacs remplis à n'importe où et partent rapidement);Aucune solidarité entre Chauffeurs et Trie";Collectif;Ce qui me met en difficulté;1
Gros travail de report des pb rencontrés;Pression;Ce qui me met en difficulté;1
Harmoniser les règles de tri entre les salariés;Travail;Ce qui me met en difficulté;1
"heure matinale; quitter tôt; responsabilité";Environnement;Ce que j'apprécie;1
Heureux de ma place au sein du groupe, Je sais qu'on estime mon travail ;Reconnaissance;Ce que j'apprécie;1
High technical expertise;Travail;Ce que j'apprécie;1
horaires;Environnement;Ce que j'apprécie;1
humain;Collectif;Ce que j'apprécie;1
"Hygiène et conditions de travail (dans les Bureaux et les espaces de repas);Pas assez d' anticipation sur les charges de travail par service (MEP, OPS, Comptabilité)- ce qui peut déstabiliser des organisations en place;Manque d'agilité pour certains servi";Environnement;Ce qui me met en difficulté;1
Hyper dense. Excès de tâches. On va très vite. On s'amène beaucoup de contraintes. ;Pression;Ce qui me met en difficulté;1
Idem 7;Autres;Ce que j'apprécie;1
idem car ce syndrome engendre des difficultés à différents niveaux de mon travail;Autres;Ce qui me met en difficulté;1
identifier les mauvais gestes de tri;Travail;Ce qui me met en difficulté;1
ifficulté à organiser qui fait quoi, façon de fonctionner trop en rateau;Organisation;Ce qui me met en difficulté;1
Il existe un décalage entre les propos et les réelles intentions de la direction.;Ouverture;Ce qui me met en difficulté;2
Il existe un déficit dans l'expression des besoins par le personnel.;Ouverture;Ce qui me met en difficulté;2
Il faut que ça suive au niveau de l'ensemble, ce qui n'est pas évident (rythme);Organisation;Ce qui me met en difficulté;1
Il manque l'esprit d'équipe, la cohésion. On se bat tout seul avec des équipes qui ne suivent pas;Collectif;Ce qui me met en difficulté;1
Il manque une visibilité sur les objectifs et sur la structure générale du travail au sein de l'entreprise.;Ouverture;Ce qui me met en difficulté;2
il n'y a pas de pression;Organisation;Ce que j'apprécie;1
il n'y a pas d'interprète et nous avons dû mal à comprendre;Communication;Ce qui me met en difficulté;1
Il peut y avoir des tensions liées à l'excès de travail,;Pression;Ce qui me met en difficulté;1
Il peut y avoir quelque chose qui me froisse;Autres;Ce qui me met en difficulté;1
Il y a des difficultés à être adroit dans sa communication;Collectif;Ce qui me met en difficulté;1
Il y a des gens qui travaillent avec le cœur, d'autres non;Collectif;Ce qui me met en difficulté;1
Il y a des pharmacies très agréables et d'autres très compliquées, mais 95% des clients sont adorables  ;Relation client;Ce que j'apprécie;1
il y a des problèmes pour mieux valoriser le matériel qui a été récupéré;Organisation;Ce qui me met en difficulté;1
Il y a parfois une certaine hésitation de la part des dirigeants à accepter les idées et suggestions émanant des employés.;Ouverture;Ce qui me met en difficulté;2
Il y a plein de réunions périodiques. J'ai l'impression qu'on retrouve les mêmes sujets dans chacune, mais traités par des personnes différentes.;Organisation;Ce qui me met en difficulté;1
Il y a que de l'eau foid pas d'eau chaud. Je travaille beaucoup mais mon salaire et petit.;Rémunération;Ce qui me met en difficulté;1
Il y a toujours des choses nouvelles DIVERSITÉ : un nouveau service, de nouvelles agences, on ne s'ennuie pas ;Travail;Ce que j'apprécie;1
